k1,k2,t
p,p,0.0
p,s1,0.6618048985464831
p,s2,2.9325699595693937
p,s3,1.903527135779046
p,s4,1.3017303874107433
p,s5,0.4553824651008621
p,s6,1.4522785543897057
p,s7,0.8425129739306184
p,s8,2.1672450270010017
p,s9,2.6223170683761907
s1,p,0.6618048985464831
s1,s1,0.0
s1,s2,2.3893232850645365
s1,s3,2.33025149097131
s1,s4,1.6504869491807492
s1,s5,0.3043514798712115
s1,s6,1.966610940851162
s1,s7,1.4760901492526832
s1,s8,2.5657819900688335
s1,s9,2.7606668433461263
s2,p,2.9325699595693937
s2,s1,2.3893232850645365
s2,s2,0.0
s2,s3,3.5503473835679253
s2,s4,4.028661918273781
s2,s5,2.6934191514343575
s2,s6,4.34861208276556
s2,s7,3.5014219709795844
s2,s8,4.943998728414635
s2,s9,2.9604949986001756
s3,p,1.903527135779046
s3,s1,2.33025149097131
s3,s2,3.5503473835679253
s3,s3,0.0
s3,s4,2.881206652884047
s3,s5,2.2967290275659575
s3,s6,2.65382557280395
s3,s7,1.3023701932891987
s3,s8,3.469437825388361
s3,s9,1.2929132484695316
s4,p,1.3017303874107433
s4,s1,1.6504869491807492
s4,s2,4.028661918273781
s4,s3,2.881206652884047
s4,s4,0.0
s4,s5,1.3531670616503215
s4,s6,0.5754671589164339
s4,s7,1.578913524545914
s4,s8,0.9159754189566711
s4,s9,3.840677092945487
s5,p,0.4553824651008621
s5,s1,0.3043514798712115
s5,s2,2.6934191514343575
s5,s3,2.2967290275659575
s5,s4,1.3531670616503215
s5,s5,0.0
s5,s6,1.6632184980530935
s5,s7,1.297840131341717
s5,s8,2.266851782298962
s5,s9,2.868159398061737
s6,p,1.4522785543897057
s6,s1,1.966610940851162
s6,s2,4.34861208276556
s6,s3,2.65382557280395
s6,s4,0.5754671589164339
s6,s5,1.6632184980530935
s6,s6,0.0
s6,s7,1.393693125219608
s6,s8,0.8210413431334596
s6,s9,3.746569392636121
s7,p,0.8425129739306184
s7,s1,1.4760901492526832
s7,s2,3.5014219709795844
s7,s3,1.3023701932891987
s7,s4,1.578913524545914
s7,s5,1.297840131341717
s7,s6,1.393693125219608
s7,s7,0.0
s7,s8,2.2143285684647966
s7,s9,2.3554651179522046
s8,p,2.1672450270010017
s8,s1,2.5657819900688335
s8,s2,4.943998728414635
s8,s3,3.469437825388361
s8,s4,0.9159754189566711
s8,s5,2.266851782298962
s8,s6,0.8210413431334596
s8,s7,2.2143285684647966
s8,s8,0.0
s8,s9,4.56500643468924
s9,p,2.6223170683761907
s9,s1,2.7606668433461263
s9,s2,2.9604949986001756
s9,s3,1.2929132484695316
s9,s4,3.840677092945487
s9,s5,2.868159398061737
s9,s6,3.746569392636121
s9,s7,2.3554651179522046
s9,s8,4.56500643468924
s9,s9,0.0
